"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Variety","Edit"
"140","62","14NY0043-2",13.0342026,13.8239708,0.6245193,9.3511963,9.5031538,15.1578674,32.6697311,"Check1","Glucose Nulled"
"141","570","14NY0527-1",2.6914177,15.4918137,10.6638947,9.1350002,8.6810322,18.6786804,37.6254997,"We05401","Glucose Nulled"
"142","1451","14W31453-1",2.8074722,11.5588989,8.2506714,9.119072,8.7659521,17.8797798,37.7312241,"Check1","Glucose Nulled"
"143","17","14NY0011",15.4743118,NA,NA,9.0456257,9.942852,20.9634666,37.0384407,"Check1","Glucose Nulled"
"144","2303","15NY0519",6.8138313,17.732048,9.9061508,8.9784355,8.5787382,18.0043831,36.164032,"Check1","Glucose Nulled"
"145","2711","15W2560-1",2.0989952,17.1320419,13.7779083,8.9547338,8.4159889,23.5442924,41.9507866,"Check1","Glucose Nulled"
"146","2309","15NY0530",10.8194618,20.037571,7.8195572,8.9306183,8.8125,19.3893204,36.4275627,"Check1","Glucose Nulled"
"147","1739","14W31957-1",6.2032738,9.0125465,2.8073807,8.9097366,7.2727785,0,20.7932625,"IL773a","Glucose Nulled"
"148","548","14NY0508-1",2.3136024,15.7058144,12.0523987,8.8955412,8.5787754,21.97472,39.9055481,"Check1","Glucose Nulled"
"149","43","14NY0029-2",3.4702797,17.8235435,12.0862808,8.8736591,8.3821535,22.4940605,40.2189217,"We05408","Glucose Nulled"
"150","1218","14W30905-1",2.1896439,17.2754135,13.3354034,8.7953768,8.4152946,21.2305222,39.3306007,"Check1","Glucose Nulled"
