"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Inbred","Edit"
"59","116","14NY0344-2",9.1066217,2.2820036,-4.2368283,6.965529,7.9314241,32.4358559,47.2550354,"Wuh98032","WSP Zeroed"
"60","102","14NY0322-2",4.4202423,0,-4.227766,7.2706604,8.4219131,34.6679268,50.5108719,"Wuh09164i","WSP Zeroed"
"61","32","14NY0146",12.60624405,5.96659065,-4.22218635,6.15617275,7.3774581,29.8422384,43.2470665,"Wuh09093i","WSP Zeroed"
"62","265","14NY0830-1",13.8073454,5.7997708,-4.2102566,6.0016174,7.3100762,29.8365078,43.0601158,"V775","WSP Zeroed"
"63","149","14NY0564",20.2986169,9.2331913,-4.19731425,4.82738805,6.46766475,27.27680585,38.4978218,"Wuh09191i","WSP Zeroed"
"64","83","14NY0294-1",8.8016233,3.6037383,-4.1916695,6.6078453,7.691668,30.9703674,45.1656609,"Wh07013","WSP Zeroed"
"65","202","14NY0666-2",2.7438574,NA,-4.1874485,7.5285826,8.5876551,34.8276749,51.0261383,"Wh01001","WSP Zeroed"
"66","244","14NY0754-1",15.1680861,7.8164639,-4.1679096,5.6117525,7.0072527,28.53652,41.0250511,"Wh07166R","WSP Nulled"
"67","666","15NY0692",21.3609695,9.3826733,-4.1221504,4.899642,6.4502621,27.2998714,38.569725,"Wuh98032","WSP Zeroed"
"68","112","14NY0338-2",19.8083839,11.2356644,-4.1207662,4.934062,6.4630146,26.4894085,37.7037354,"Wh05081a","WSP Nulled"
"69","141","14NY0537-2",4.6290016,0,-4.0575724,7.0637531,8.3726254,33.6799011,49.2078362,"Wh05051","WSP Zeroed"
"70","207","14NY0671-1",12.7117758,6.6723709,-4.0508404,6.1589355,7.2975888,29.2187386,42.5309982,"Wh93017","WSP Zeroed"
"71","36","14NY0157-1",3.650898,0,-4.0080113,7.3371968,8.4928226,34.5764389,50.5476074,"Wh05051","WSP Zeroed"
